파일명,파일명 재정리,시청각기록물 등록번호,제목,유형,MIME 유형,Image 사이즈,재생시간,생산일,생산자,제공일,제공자,수집일,수집자,주제어(사업명),주제어(약어),주제어(단위과제),주제어(1차),주제어(2차),위도/경도
김윤섭 13_시흥 승지초등학교0410_경기도의아이들1237.JPG,M-A321148.jpg,M-A321148,승지초등학교,사진류,image/jpeg,5070x3380,,2018:04:10 11:15:01,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 14_시흥 승지초등학교0410_경기도의아이들1005.JPG,M-A321149.jpg,M-A321149,승지초등학교,사진류,image/jpeg,5461x3641,,2018:04:10 10:36:13,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 15_광명 풀씨학교0417_경기도의아이들3383.JPG,M-A321150.jpg,M-A321150,풀씨학교,사진류,image/jpeg,5724x3816,,2018:04:17 14:29:12,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 16_광명 볍씨학교0510_경기도의아이들7729.JPG,M-A321151.jpg,M-A321151,볍씨학교,사진류,image/jpeg,5742x3828,,2018:05:10 09:35:37,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 17_시흥 승지초등학교0412_경기도의아이들_토피아리 돌보기2546.JPG,M-A321152.jpg,M-A321152,승지초등학교 토피아리 돌보기,사진류,image/jpeg,5922x3948,,2018:04:12 12:21:47,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 18_광명 볍씨학교0417_경기도의아이들_고양이 니코3566.JPG,M-A321153.jpg,M-A321153,볍씨학교 고양이 니코,사진류,image/jpeg,5767x3845,,2018:04:17 16:00:19,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 19_광명 볍씨학교0419_경기도의아이들_고양이 니코4425.JPG,M-A321154.jpg,M-A321154,볍씨학교 고양이 니코,사진류,image/jpeg,5946x3964,,2018:04:19 15:57:39,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 20_광명 볍씨학교0419_경기도의아이들_자신의 나무에 대한 글쓰기 KYS_4272.JPG,M-A321155.jpg,M-A321155,볍씨학교 자신의 나무에 대한 글쓰기,사진류,image/jpeg,5670x3780,,2018:04:19 14:27:56,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 21_광명 볍씨학교0510_경기도의아이들8058.JPG,M-A321156.jpg,M-A321156,볍씨학교,사진류,image/jpeg,5649x3766,,2018:05:10 15:07:51,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 22_광명 풀씨학교0419_경기도의아이들3901.JPG,M-A321157.jpg,M-A321157,풀씨학교,사진류,image/jpeg,5756x3837,,2018:04:19 11:02:35,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
