파일명	파일명 재정리	시청각기록물 등록번호	생산(수집) 등록번호	제목	유형	MIME 유형	File 유형	File 사이즈	Image 사이즈	재생시간	생산일	생산자	제공일	제공자	수집일	수집자	주제어(사업명)	주제어(약어)	주제어(단위과제)	주제어(과업)	주제어(주제)	주제어(피사체유형)	주제어(계절)	주제어(지역)	위도/경도	MD5 Checksum
손장섭2_2010_이갑철.tif	A321674M321556.tif	M-A321556	1431052-A321674	손장섭	사진류	image/tiff	tif	47 MB	4957x3305		2011-01-11	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				467be500957980cfbb5f00f1efd343f5
손장섭3_2010_이갑철.TIF	A321675M321557.tif	M-A321557	1431052-A321675	손장섭	사진류	image/tiff	tif	94 MB	3305x4958		2011-01-11	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				7c624603cef9ab0217f0afc74fa137eb
손장섭4_2010_이갑철.TIF	A321676M321558.tif	M-A321558	1431052-A321676	손장섭	사진류	image/tiff	tif	94 MB	4957x3305		2011-01-11	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				bde7f7762689221ad86244a6d5524409
손장섭5_2010_이갑철.TIF	A321677M321559.tif	M-A321559	1431052-A321677	손장섭	사진류	image/tiff	tif	94 MB	4957x3305		2011-01-11	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				282ffea9125ef6fe1d2ed4b365ab9f36
손장섭6_2010_이갑철.TIF	A321678M321560.tif	M-A321560	1431052-A321678	손장섭	사진류	image/tiff	tif	94 MB	4957x3305		2011-01-11	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				fccb720a468cfdfb1da19cbbee1e2bf1
심정수1_2010_이갑철.tif	A321679M321561.tif	M-A321561	1431052-A321679	심정수	사진류	image/tiff	tif	47 MB	4957x3305		2010-10-12	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				d3e49baa077cbb011f08f45d76165607
심정수2_2010_이갑철.tif	A321680M321562.tif	M-A321562	1431052-A321680	심정수	사진류	image/tiff	tif	47 MB	4957x3305		2010-10-12	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				10bf9f8a03d61f7a02a59e20c21eb4fa
심정수3_2010_이갑철.tif	A321681M321563.tif	M-A321563	1431052-A321681	심정수	사진류	image/tiff	tif	47 MB	4957x3305		2010-10-12	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				991b9e82df0e1bdf8d3f01af1b830bf2
심정수4_2010_이갑철.TIF	A321682M321564.tif	M-A321564	1431052-A321682	심정수	사진류	image/tiff	tif	94 MB	4957x3305		2010-10-12	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				1fdaf6edb97244bd9f5e1b70d346028e
심정수5_2010_이갑철.TIF	A321683M321565.tif	M-A321565	1431052-A321683	심정수	사진류	image/tiff	tif	94 MB	4957x3305		2010-10-12	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				f237b0af443016bbadd66aba73ffa904
윤석남1_2010_이갑철.tif	A321684M321566.tif	M-A321566	1431052-A321684	윤석남	사진류	image/tiff	tif	47 MB	4957x3305		2010-09-27	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				81320851788c34b5821419e85e2012fe
윤석남2_2010_이갑철.tif	A321685M321567.tif	M-A321567	1431052-A321685	윤석남	사진류	image/tiff	tif	47 MB	4957x3305		2010-09-27	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				22c4633677ee98769688983c28045022
